Date,DayOfWeek,Delay,TotalFlights,PorcentageDelay
2008-11-17,1,2677,18448,0.1451105810928014
2008-11-18,2,2042,17760,0.11497747747747748
2008-11-19,3,2405,18074,0.13306406993471284
2008-11-20,4,3848,18581,0.20709326731607555
2008-11-21,5,4610,18659,0.2470657591510799
2008-11-22,6,2670,14944,0.17866702355460384
2008-11-23,7,1965,17437,0.11269140333773012
2008-11-24,1,2791,18252,0.15291474906859523
2008-11-25,2,3183,18517,0.17189609547982934
2008-11-26,3,2856,18795,0.15195530726256984
2008-11-27,4,1190,11961,0.09949000919655547
2008-11-28,5,1412,14273,0.09892804596090521
2008-11-29,6,4092,16540,0.24740024183796855
2008-11-30,7,10214,18018,0.5668775668775669
2008-12-01,1,10445,18336,0.5696444153577661
2008-12-02,2,4556,18005,0.2530408219938906
2008-12-03,3,3814,17720,0.2152370203160271
2008-12-04,4,4283,18139,0.2361210651083301
2008-12-05,5,3377,18201,0.18553925608483052
2008-12-06,6,2537,14359,0.17668361306497668
2008-12-07,7,3999,16956,0.23584571832979476
2008-12-08,1,3321,17977,0.18473605162151638
2008-12-09,2,4448,16995,0.26172403648131803
2008-12-10,3,5622,17194,0.326974525997441
2008-12-11,4,5643,17656,0.3196080652469416
2008-12-12,5,4873,18108,0.2691075767616523
2008-12-13,6,2856,14304,0.19966442953020133
2008-12-14,7,5061,16883,0.29976899840075816
2008-12-15,1,7620,17664,0.4313858695652174
2008-12-16,2,7822,16476,0.4747511531925225
2008-12-17,3,9038,17227,0.5246415510535787
2008-12-18,4,8806,17591,0.5005968961400716
2008-12-19,5,9869,16608,0.5942316955684007
2008-12-20,6,9079,15366,0.5908499284133802
2008-12-21,7,9883,15866,0.6229043237110803
2008-12-22,1,10084,17665,0.5708463062553071
2008-12-23,2,10332,17650,0.5853824362606233
2008-12-24,3,7977,14905,0.535189533713519
2008-12-25,4,4356,14985,0.2906906906906907
2008-12-26,5,8386,17220,0.4869918699186992
2008-12-27,6,9159,15685,0.5839336946126873
2008-12-28,7,6356,17388,0.36553945249597425
2008-12-29,1,4148,18372,0.22577835837143478
2008-12-30,2,4962,18128,0.27372021182700795
2008-12-31,3,4712,15118,0.3116814393438285
